"PAYMENT_TERMS_ID","CREATION_DATE","PAYMENT_TERMS","ENABLED_FLAG","DUE_CUTOFF_DAY","DESCRIPTION","TYPE","START_DATE","END_DATE","RANK","ATTRIBUTE_CATEGORY","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","ATTRIBUTE11","ATTRIBUTE12","ATTRIBUTE13","ATTRIBUTE14","ATTRIBUTE15"
10000,"10-NOV-1993","Prepayment Immediate","Y",,"Seeded immediate terms for prepayments - do not update","STD","01-JAN-1900","01-JAN-1900",,"","","","","","","","","","","","","","","",""
10001,"01-NOV-1992","Immediate","Y",,"Scheduled for payment immediately.","STD","01-NOV-1992","",,"","","","","","","","","","","Immediato","Immediat","","Pagamento immediato","immediat",""
10002,"01-NOV-1992","30 Net (terms date + 30)","Y",,"Scheduled for payment 30 days from the invoice date (invoice terms date = system date, goods received date, invoice date or invoice received date). Invoice terms date can default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","30 giorni","30 net","","30 giorni data fattura","30 jours net",""
10003,"01-NOV-1992","45 Net (terms date + 45)","Y",,"Scheduled for payment 45 days from the invoice date (invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","","45 jours","","","45 jours",""
10004,"01-NOV-1992","10 Net (terms date + 10)","Y",,"Scheduled for payment 10 days from the invoice terms date (invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","10 giorni","10 jours net","","10 giorni data fattura","Paiement 10 jours",""
10005,"01-NOV-1992","Paid on 10th, cutoff on 5th (Proxima term)","Y",5,"This is an example of 'Proxima' terms.The cutoff day is 5, invoices rec'd before the 5th are due on the 10th of the current month, if rec'd after the 5th they are scheduled for the 10th of the following month.","STD","01-NOV-1992","",,"","","","","","","","","","","","10 jours le 5","","","10 jours le 5",""
10006,"01-NOV-1992","1000 immediate, Balance 60 days","Y",,"1000 paid immediately and the balance paid in 60 days.Example:invoice for 1100, 1000 paid immediately, 100 paid in 60 days.","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10007,"01-NOV-1992","2/10 Net 45","Y",,"2% discount deducted if paid within 10 days, the remainder paid 45 days from invoice terms date. (Invoice terms date = system date, goods received date, invoice date or invoice received date).","STD","01-NOV-1992","",,"","","","","","","","","","","","2% 10 jours, 45","","","2% 10 jours, paiement 45 jours",""
10008,"01-NOV-1992","50% immediate, 50% Net 60","Y",,"50% due immediately, 50% is due in 60 days from terms date(invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","","50% net, 50% 60 jours","","","50% immediat, 50% 60 jours",""
10009,"01-NOV-1992","4/10, 3/20, 2/30 Net  60","Y",,"Multiple Discount terms, if paid within 10 days a 4% discount is applied, if paid within 11-20 days a 3% discount is applied, if paid within 21-30 days a 2% discount is applied, if paid after 30 days no discount is applied.","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10010,"12-OCT-1995","30 pv netto,14pv -2%","Y",,"(Italian term) 30 pv netto,14pv -2%","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10013,"11-FEB-1997","15 Net (terms date + 15)","Y",,"Scheduled for payment 15 days from the invoice date(invoice terms date = system date, goods received date, invoice date or invoice received date).Invoice terms date can default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10014,"11-FEB-1997","2/10 NET 30","Y",,"2% discount deducted if paid within 10 days, the remainder paid 30 days from invoice terms date. (Invoice terms date = system date, goods received date, invoice date or invoice received date).","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10021,"01-JUN-1999","End next month","Y",,"Paid on the last day of the following month","STD","01-JUN-1996","",,"","","","","","","","","","","","","","","",""
10022,"01-JUN-1999","Net 25th following month","Y",31,"Paid on the 25 day of the following month.This is an example of 'Proxima' terms.The cutoff day is end of month, invoices rec'd before end of month are due on the 25th of the next month.","STD","01-JUN-1996","",,"","","","","","","","","","","","","","","",""
10023,"01-JUN-1999","End next month (cutoff 20th)","Y",20,"Paid on end of next month.This is an example of 'Proxima' terms.The cutoff day is 20th, invoices rec'd before the 20th  are due at of the end of next month.","STD","01-JUN-1999","",,"","","","","","","","","","","","","","","",""
10041,"01-DEC-1999","End Month 1/2/3","Y",,"3 installments end month 1, 2 and 3","STD","01-DEC-1999","",,"","","","","","","","","","","","","","","",""
10042,"04-JAN-2000","2N30","Y",,"2% 10, Net 30 (Process)","STD","01-JAN-2000","",,"","","","","","","","","","","","","","","",""
10043,"04-JAN-2000","COD","Y",,"Cash On Delivery (Process)","STD","10-JAN-2000","",,"","","","","","","","","","","","","","","",""
10044,"04-JAN-2000","N30","Y",,"Net 30 (Process)","STD","01-JAN-2000","",,"","","","","","","","","","","","","","","",""
10045,"14-AUG-2000","1/10 NET 30","Y",,"1% discount deducted if paid within 10 days, the remainder paid 30 days from invoice terms date. (Invoice terms date = system date, goods received date, invoice date or invoice received date).","STD","14-AUG-2000","",,"","","","","","","","","","","","","","","",""
10065,"28-FEB-2001","90% 30 days, 10% 10 years later","Y",,"90% 30 days after invoice, remaining 10% are due 10 years","STD","01-JAN-1998","",,"","","","","","","","","","","","","","","",""
10085,"15-JAN-2003","TH Immediate","Y",,"Immediate","STD","18-NOV-2002","",,"","","","","","","","","","","","","","","",""
10086,"15-JAN-2003","CZ14 Days","Y",,"Due in 14 Days","STD","01-JAN-1997","",,"","","","","","","","","","","","","","","",""
10087,"15-JAN-2003","CZ Discount 14 Days","Y",,"","STD","31-AUG-1997","",,"","","","","","","","","","","","","","","",""
10088,"15-JAN-2003","CZ30 days","Y",,"Due in 30 days","STD","01-JAN-1997","",,"","","","","","","","","","","","","","","",""
10089,"15-JAN-2003","CZ 0 Days","Y",,"Immediate","STD","01-JAN-1997","",,"","","","","","","","","","","","","","","",""
10090,"24-JAN-2003","TW 7 Days","Y",,"Payment in 7 Days","STD","31-MAR-1999","",,"","","","","","","","","","","","","","","",""
10091,"24-JAN-2003","30 Days Net, 14 Days -2%","Y",,"30 Days Net, 2% Discount if paid within 14 days","STD","03-MAR-1999","",,"","","","","","","","","","","","","","","",""
10110,"27-JAN-2003","GR_NET7","Y",,"Invoice date + 7 days","STD","01-JAN-2003","",,"","","","","","","","","","","","","","","",""
10111,"27-JAN-2003","GR_NET10","Y",,"Invoice date + 10 days","STD","01-JAN-2003","",,"","","","","","","","","","","","","","","",""
10112,"27-JAN-2003","GR_NET15","Y",,"Invoice date + 15 days","STD","01-JAN-2003","",,"","","","","","","","","","","","","","","",""
10113,"27-JAN-2003","GR_NET45","Y",,"Invoice date + 45 days","STD","01-JAN-2003","",,"","","","","","","","","","","","","","","",""
10114,"06-NOV-2003","IRRF","Y",,"Payment Term for IR","STD","06-NOV-2003","",,"","","","","","","","","","","","","","","",""
10134,"03-MAY-2004","Net 30","Y",,"Payment due in 30 days","STD","01-JAN-1990","",4,"","","","","","","","","","","","","","","",""
10154,"31-MAR-2005","60 Net (terms date + 60)","Y",,"Scheduled for payment 60 days from the invoice date (invoice terms date = system date, goods received date, invoice date or invoice received date). Invoice terms date can default from supplier header, site, PO, system default, etc.","STD","01-JAN-2000","",,"","","","","","","","","","","","","","","",""
10174,"03-JUN-2005","30EM /3% 30NET","Y",,"30 days end of month / 3% discount within 30 days","STD","03-JUN-1990","",,"","","","","","","","","","","","","","","",""
10175,"03-JUN-2005","End Current Month","Y",,"Pay by End of Current Month","STD","03-JUN-2000","",,"","","","","","","","","","","","","","","",""
10176,"03-JUN-2005","End Month+2","Y",,"Pay Within 2 Months","STD","03-JUN-2000","",,"","","","","","","","","","","","","","","",""
1020002,"12-JAN-1996","60 days/15","Y",,"Deactivated","STD","01-NOV-1992","12-JAN-1995",,"","","","","","","","","","","","60 jours le 15","","","60 jours le 15",""
1020003,"12-JAN-1996","Net 15th Following Month (Proxima term)","Y",10,"Paid on the 15 day of the following month.This is an example of 'Proxima' terms.The cutoff day is 10, invoices rec'd before the 10th are due on the 15th of the next month, if rec'd after the 10th they are scheduled for the following month.","STD","01-NOV-1992","",,"","","","","","","","","","","","30 jours le 15","","","30 jours le 15",""
